benign.location_x,forward.location_x,reverse.location_x
-12.570138931274414,-56.711814880371094,-82.1388931274414
-12.217212677001953,-56.686946868896484,-82.16447448730469
-11.930665969848633,-56.66175079345703,-82.19002532958984
-11.647396087646484,-56.634765625,-82.21477508544922
-11.341859817504883,-56.61050033569336,-82.240478515625
-11.046574592590332,-56.585121154785156,-82.26890563964844
-10.616786003112793,-56.55342483520508,-82.2942886352539
-10.321393966674805,-56.52408981323242,-82.31964874267578
-10.023130416870117,-56.493408203125,-82.3460464477539
-9.739494323730469,-56.46848678588867,-82.37166595458984
-9.441390991210938,-56.43174362182617,-82.39873504638672
-9.113289833068848,-56.39697265625,-82.4242935180664
-8.757888793945312,-56.3692626953125,-82.46100616455078
-8.484049797058105,-56.3432502746582,-82.5126953125
-8.074658393859863,-56.31737518310547,-82.53396606445312
-7.72859525680542,-56.290340423583984,-82.54956817626953
-7.420618057250977,-56.26348114013672,-82.56595611572266
-6.759008407592773,-56.23654556274414,-82.58204650878906
-6.430994510650635,-56.210384368896484,-82.59961700439453
-6.1122727394104,-56.182743072509766,-82.61962890625
-5.766758918762207,-56.1559944152832,-82.63965606689453
-5.4250993728637695,-56.12984848022461,-82.65747833251953
-5.082503795623779,-56.103607177734375,-82.67393493652344
-4.742184162139893,-56.075199127197266,-82.69291687011719
-4.448101043701172,-56.04716491699219,-82.71296691894531
-4.156052112579346,-56.02103042602539,-82.73311614990234
-3.8556277751922607,-55.99605178833008,-82.75189971923828
-3.548539161682129,-55.97113037109375,-82.77054595947266
-3.231466054916382,-55.94624328613281,-82.78917694091797
-2.904758930206299,-55.91973876953125,-82.80944061279297
-2.482208013534546,-55.89492416381836,-82.82896423339844
-1.2938624620437622,-55.870033264160156,-82.8489761352539
-1.0092800855636597,-55.84366989135742,-82.86920928955078
-0.6887533664703369,-55.817108154296875,-82.89048767089844
-0.3917398750782013,-55.79111099243164,-82.91099548339844
-0.07742231339216232,-55.76179885864258,-82.93040466308594
0.19890019297599792,-55.73351287841797,-82.95144653320312
0.9028113484382629,-55.70204544067383,-82.972412109375
1.1933802366256714,-55.649471282958984,-82.9954833984375
1.5595594644546509,-55.6124153137207,-83.01839447021484
1.9030873775482178,-55.58454513549805,-83.0427017211914
2.525888681411743,-55.559940338134766,-83.0707015991211
2.8341166973114014,-55.53519821166992,-83.09769439697266
3.593594789505005,-55.51077651977539,-83.12358093261719
3.883286952972412,-55.477561950683594,-83.15340423583984
4.2058024406433105,-55.45136260986328,-83.17558288574219
4.792407035827637,-55.42655944824219,-83.20108032226562
5.131935119628906,-55.40264892578125,-83.22535705566406
5.379288196563721,-55.38019561767578,-83.24697875976562
5.7049479484558105,-55.35414123535156,-83.26852416992188
5.99133825302124,-55.321956634521484,-83.2909927368164
6.269914627075195,-55.29587173461914,-83.31645202636719
6.585158348083496,-55.268192291259766,-83.3399429321289
6.892485618591309,-55.23580551147461,-83.36286163330078
7.274390697479248,-55.20505905151367,-83.38484191894531
7.992563247680664,-55.18079376220703,-83.4089126586914
8.348091125488281,-55.15729904174805,-83.4354476928711
8.675785064697266,-55.13398742675781,-83.45875549316406
9.003352165222168,-55.10969543457031,-83.48152923583984
9.32087516784668,-55.08626937866211,-83.50523376464844
9.668386459350586,-55.06367874145508,-83.52887725830078
10.46338939666748,-55.040409088134766,-83.55242919921875
11.372185707092285,-55.016639709472656,-83.57499694824219
12.106634140014648,-54.993690490722656,-83.59765625
12.421157836914062,-54.97061538696289,-83.62166595458984
12.726157188415527,-54.94302749633789,-83.64640808105469
13.045818328857422,-54.9144172668457,-83.67003631591797
13.43301010131836,-54.88946533203125,-83.69778442382812
13.810409545898438,-54.86576843261719,-83.72687530517578
14.122490882873535,-54.83381271362305,-83.753173828125
14.436153411865234,-54.809364318847656,-83.78960418701172
14.767583847045898,-54.78417205810547,-83.83438110351562
15.04312801361084,-54.76107406616211,-83.86888122558594
15.91671371459961,-54.738739013671875,-83.89846801757812
17.161420822143555,-54.715457916259766,-83.92272186279297
17.521915435791016,-54.693115234375,-83.94597625732422
17.81031608581543,-54.670291900634766,-83.97364044189453
18.13317108154297,-54.64688491821289,-84.00685119628906
18.51321792602539,-54.62419128417969,-84.03540802001953
19.256837844848633,-54.60050964355469,-84.06048583984375
