benign_rotation,replay_rotation
-80.73065948486328,6.650412559509277
-80.36778259277344,7.6334147453308105
-80.02123260498047,8.535454750061035
-79.66950988769531,9.296528816223145
-79.36334991455078,9.925214767456055
-79.09740447998047,10.566848754882812
-78.85931396484375,11.391035079956055
-78.57707977294922,12.335966110229492
-78.20692443847656,13.299239158630371
-77.81961822509766,14.200569152832031
-77.45809936523438,15.038284301757812
-77.1633071899414,15.911343574523926
-76.91928100585938,16.842884063720703
-76.6851577758789,17.965869903564453
-76.39307403564453,19.258983612060547
-76.05110931396484,20.283668518066406
-75.6545181274414,21.20029067993164
-75.27366638183594,22.162473678588867
-74.93461608886719,23.213520050048828
-74.63361358642578,24.442943572998047
-74.38157653808594,25.678251266479492
-74.10175323486328,26.82697105407715
-73.76803588867188,27.988567352294922
-73.37120056152344,29.26814842224121
-73.0094985961914,30.718753814697266
-72.66472625732422,32.14870834350586
-72.40081024169922,33.417171478271484
-72.16000366210938,34.605369567871094
-71.90591430664062,35.73293685913086
-71.5392074584961,37.087371826171875
-71.15081787109375,38.7998161315918
-70.75236511230469,40.43342971801758
-70.3612060546875,42.11005401611328
-70.03693389892578,43.77682876586914
-69.7801513671875,45.62493896484375
-69.53184509277344,47.270442962646484
-69.18408203125,48.77809524536133
-68.82779693603516,50.231876373291016
-68.45508575439453,51.87260818481445
-68.15509796142578,53.80322265625
-67.83954620361328,55.8713264465332
-67.57426452636719,58.23963928222656
-67.31544494628906,60.096824645996094
-67.01963806152344,61.686187744140625
-66.60285949707031,63.18215560913086
-66.06513977050781,64.45780944824219
-65.65591430664062,65.708984375
-65.33192443847656,66.66211700439453
-65.05604553222656,67.51771545410156
-64.68692779541016,68.23724365234375
-64.25308990478516,69.12791442871094
-63.79494857788086,70.09351348876953
-63.38436508178711,71.0131607055664
-62.921051025390625,71.84130859375
-62.51839065551758,72.56571197509766
-62.22581481933594,73.16123962402344
-61.745609283447266,73.79656982421875
-61.205902099609375,74.52333068847656
-60.731224060058594,75.27750396728516
-60.44523620605469,76.04496765136719
-60.22282791137695,76.82447814941406
-59.914756774902344,77.6568832397461
-59.49692916870117,78.98657989501953
-59.00138473510742,81.14640045166016
-58.62247085571289,83.94074249267578
-58.27815628051758,85.8223876953125
-57.992210388183594,87.68684387207031
-57.7042350769043,90.06788635253906
-57.42288589477539,94.11302185058594
-57.011085510253906,96.089599609375
-56.59033966064453,98.118896484375
-56.18552780151367,102.28746795654297
-55.81705856323242,106.2761001586914
-55.4788932800293,108.77676391601562
-55.20747375488281,113.26628875732422
-54.94035720825195,115.0369873046875
-54.648738861083984,117.16445922851562
-54.15655517578125,119.38943481445312
-53.69656753540039,121.21583557128906
-53.28184127807617,124.8894271850586
-52.9412727355957,126.8099136352539
-52.57735061645508,130.6372528076172
-52.23646926879883,133.09803771972656
-51.88273620605469,135.3247528076172
-51.33415985107422,138.4823455810547
-50.855247497558594,141.46461486816406
-50.3703727722168,144.9171600341797
-49.97040557861328,147.40826416015625
-49.61111831665039,151.39126586914062
-49.26394271850586,157.34898376464844
-48.80669403076172,162.2781219482422
-48.35261917114258,167.00230407714844
-47.86103439331055,172.6707305908203
-47.445167541503906,175.00343322753906
-47.03031921386719,178.50726318359375
-46.70558547973633,-178.99551391601562
-46.350746154785156,-176.1805877685547
-45.90354919433594,-173.14541625976562
-45.361446380615234,-170.7576904296875
-44.83134460449219,-167.42401123046875
-44.39316177368164,-165.65484619140625
-43.98429870605469,-162.72906494140625
-43.626220703125,-160.34425354003906
-43.22888946533203,-156.68519592285156
-42.78312301635742,-153.75253295898438
-42.255943298339844,-151.39451599121094
-41.78423309326172,-149.5887908935547
-41.32358932495117,-145.9091033935547
-40.937591552734375,-144.25865173339844
-40.55550765991211,-142.05967712402344
-40.2457160949707,-138.4408721923828
-39.88780212402344,-134.5816650390625
-39.376258850097656,-130.3144073486328
-38.805641174316406,-127.66896057128906
-38.243934631347656,-125.42304229736328
-37.78232192993164,-123.15292358398438
-37.32462692260742,-119.29157257080078
-36.8428840637207,-115.619384765625
-36.248321533203125,-111.56890869140625
-35.666778564453125,-109.44141387939453
-35.13693618774414,-107.16925811767578
-34.62934494018555,-103.2409439086914
-34.22605514526367,-99.07391357421875
-33.9212760925293,-95.15217590332031
-33.5655403137207,-93.14002990722656
-33.12614059448242,-91.26226043701172
-32.575401306152344,-86.97917938232422
-32.11769485473633,-85.00670623779297
-31.635757446289062,-82.80735778808594
-31.247970581054688,-79.17936706542969
-30.84556007385254,-76.81400299072266
-30.4154109954834,-74.37190246582031
-29.75260353088379,-71.68042755126953
-29.180574417114258,-69.31842803955078
-28.717124938964844,-67.01107788085938
-28.26742172241211,-64.09587860107422
-27.87865447998047,-62.44290542602539
-27.517654418945312,-60.877349853515625
-27.158708572387695,-58.77484130859375
-26.67337989807129,-56.96835708618164
-26.16316032409668,-55.890052795410156
-25.61380958557129,-53.80344009399414
-25.14850616455078,-52.02608108520508
-24.70536231994629,-51.22344207763672
-24.34876823425293,-50.20564270019531
-23.954204559326172,-49.443241119384766
-23.482646942138672,-48.725547790527344
-22.841474533081055,-47.890724182128906
-22.248611450195312,-47.2379264831543
-21.702226638793945,-46.582340240478516
-21.109027862548828,-46.15864181518555
-20.593658447265625,-46.10725021362305
-19.944669723510742,-46.107093811035156
-19.249757766723633,-46.10681915283203
-18.65936851501465,-46.1064453125
-18.067054748535156,-46.10617446899414
-17.638591766357422,-46.10602569580078
-17.127395629882812,-46.10578918457031
-16.559219360351562,-46.105751037597656
-16.036788940429688,-46.105812072753906
-15.536730766296387,-46.105873107910156
-15.117451667785645,-46.10590362548828
-14.68486499786377,-46.10593795776367
-14.216208457946777,-46.10593795776367
-13.482534408569336,-46.10593795776367
-12.729208946228027,-46.10593795776367
-12.02580451965332,-46.10593795776367
-11.390305519104004,-46.10593795776367
-10.859267234802246,-46.10593795776367
-10.361862182617188,-46.10593795776367
-9.909743309020996,-46.10593795776367
-9.519208908081055,-46.10593795776367
-9.215832710266113,-46.10593795776367
-8.97968864440918,-46.10593795776367
-8.748790740966797,-46.10593795776367
