benign_locationx,benign_locationy,replay_locationx,replay_locationy
-66.88929748535156,-41.81916809082031,-77.20530700683594,-56.88365936279297
-66.88931274414062,-41.81922149658203,-77.20530700683594,-56.88365936279297
-66.8892593383789,-41.81916809082031,-77.20530700683594,-56.88365936279297
-66.8890609741211,-41.8192024230957,-77.20530700683594,-56.88365936279297
-66.888916015625,-41.81916046142578,-77.20530700683594,-56.88365936279297
-66.88898468017578,-41.81914520263672,-77.20530700683594,-56.88365936279297
-66.88905334472656,-41.81912612915039,-77.20530700683594,-56.88365936279297
-66.88912963867188,-41.81909942626953,-77.20530700683594,-56.88365936279297
-66.88903045654297,-41.81912612915039,-77.20530700683594,-56.88365936279297
-66.88905334472656,-41.81911087036133,-77.20530700683594,-56.88365936279297
-66.88895416259766,-41.81913375854492,-77.20530700683594,-56.88365936279297
-66.888916015625,-41.81909942626953,-77.20530700683594,-56.88365936279297
-66.88885498046875,-41.819114685058594,-77.20530700683594,-56.88365936279297
-66.88874053955078,-41.81914138793945,-77.20530700683594,-56.88365936279297
-66.88838958740234,-41.81922912597656,-77.20530700683594,-56.88365936279297
-66.88838958740234,-41.81922912597656,-77.20530700683594,-56.88365936279297
-66.88837432861328,-41.81920623779297,-77.20557403564453,-56.88358688354492
-66.88829803466797,-41.819217681884766,-77.20451354980469,-56.88386535644531
-66.88797760009766,-41.81909942626953,-77.20441436767578,-56.88389205932617
-66.88790130615234,-41.81922149658203,-77.2039566040039,-56.88400650024414
-66.8877944946289,-41.819217681884766,-77.20278930664062,-56.884315490722656
-66.88772583007812,-41.81922912597656,-77.20063018798828,-56.88486099243164
-66.88774108886719,-41.81922912597656,-77.19678497314453,-56.885868072509766
-66.8877944946289,-41.81920623779297,-77.18983459472656,-56.88772201538086
-66.88793182373047,-41.81927490234375,-77.18013763427734,-56.89029312133789
-66.88813018798828,-41.81926345825195,-77.16786193847656,-56.893558502197266
-66.88813781738281,-41.81928634643555,-77.15361785888672,-56.897342681884766
-66.88822937011719,-41.81926727294922,-77.1356201171875,-56.90207290649414
-66.8882827758789,-41.819252014160156,-77.1157455444336,-56.907318115234375
-66.88826751708984,-41.81925582885742,-77.09007263183594,-56.91413116455078
-66.88813018798828,-41.818904876708984,-77.06255340576172,-56.92142868041992
-66.88841247558594,-41.81916809082031,-77.03231811523438,-56.929466247558594
-66.88842010498047,-41.819175720214844,-76.99638366699219,-56.93906021118164
-66.88856506347656,-41.819129943847656,-76.9589614868164,-56.94908905029297
-66.88856506347656,-41.81912612915039,-76.91216278076172,-56.96155548095703
-66.88835906982422,-41.81916427612305,-76.86708068847656,-56.97355651855469
-66.8882827758789,-41.819175720214844,-76.82086944580078,-56.985877990722656
-66.88822174072266,-41.81914138793945,-76.77513885498047,-56.998069763183594
-66.88813018798828,-41.81910705566406,-76.71920013427734,-57.01298141479492
-66.8879623413086,-41.819175720214844,-76.65838623046875,-57.02920913696289
-66.8877182006836,-41.81922912597656,-76.59954833984375,-57.04491424560547
-66.88771057128906,-41.819217681884766,-76.54109954833984,-57.06052780151367
-66.88771057128906,-41.819217681884766,-76.4787368774414,-57.07717514038086
-66.88790893554688,-41.819183349609375,-76.40989685058594,-57.09556579589844
-66.887939453125,-41.819252014160156,-76.34446716308594,-57.11304473876953
-66.88797760009766,-41.819305419921875,-76.27690887451172,-57.13109588623047
-66.88812255859375,-41.81928253173828,-76.20701599121094,-57.148860931396484
-66.88807678222656,-41.81928634643555,-76.13372039794922,-57.16535568237305
-66.88825988769531,-41.819271087646484,-75.988037109375,-57.194847106933594
-66.88849639892578,-41.819236755371094,-75.90412139892578,-57.21162414550781
-66.88847351074219,-41.819236755371094,-75.81237030029297,-57.22984313964844
-66.88868713378906,-41.81923294067383,-75.7091064453125,-57.25028610229492
-66.8888931274414,-41.81926345825195,-75.59423828125,-57.27301788330078
-66.8890609741211,-41.81923294067383,-75.47480010986328,-57.29663848876953
-66.88912963867188,-41.819217681884766,-75.32456970214844,-57.32628631591797
-66.88912963867188,-41.819217681884766,-75.17325592041016,-57.353397369384766
-66.88909149169922,-41.81922912597656,-74.87136840820312,-57.39725112915039
-66.88906860351562,-41.81923294067383,-74.71331787109375,-57.41755676269531
-66.88914489746094,-41.81922149658203,-74.55546569824219,-57.43701171875
-66.88924407958984,-41.8192138671875,-74.39826965332031,-57.45600891113281
-66.88961029052734,-41.8192138671875,-74.20401763916016,-57.47896957397461
-66.88973236083984,-41.81918716430664,-73.98885345458984,-57.504173278808594
-66.88970947265625,-41.819129943847656,-73.83352661132812,-57.5223274230957
-66.88948822021484,-41.81918716430664,-73.66252899169922,-57.541839599609375
-66.8895263671875,-41.819183349609375,-73.50060272216797,-57.55998992919922
-66.88947296142578,-41.81919479370117,-73.34286499023438,-57.57737731933594
-66.88976287841797,-41.81918716430664,-73.17765045166016,-57.59539031982422
-66.88996887207031,-41.81920623779297,-73.01378631591797,-57.61306381225586
-66.88997650146484,-41.81916809082031,-72.84304809570312,-57.63129806518555
-66.89009094238281,-41.81917953491211,-72.65300750732422,-57.64976119995117
