['vcan0', '000000BA', '[8]', '00', 'C0', '6C', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0D', '10', '00', '00', '00', '0D', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '0E', '03', '03', '03', '03', '00', '00', '1A']
['vcan0', '000000BA', '[8]', '00', '80', '34', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '0E', '10', '00', '00', '00', '0E', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '11', '03', '04', '03', '04', '00', '00', '1F']
['vcan0', '000000BA', '[8]', '00', 'C0', '9E', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '11', '00', '00', '00', '00', '11', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', 'FE', '00', '00', '00', '00', '00', '00', 'FE']
['vcan0', '000000BA', '[8]', '00', '40', '3C', '01', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '10', '10', '00', '00', '00', '10', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '0F', '03', '03', '03', '03', '00', '00', '1B']
['vcan0', '000000BA', '[8]', '00', '80', '0C', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '10', '10', '00', '00', '00', '10', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '09', '02', '02', '02', '02', '00', '00', '11']
['vcan0', '000000BA', '[8]', '00', '00', '5A', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '13', '00', '00', '00', '00', '13', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '05', '01', '01', '01', '01', '00', '00', '09']
['vcan0', '000000BA', '[8]', '00', '80', '1B', '00', '01', '00', '00', '00']
['vcan0', '000001A0', '[8]', '12', '10', '00', '00', '00', '12', '00', '00']
['vcan0', '000001B4', '[8]', '00', '00', '00', '00', '00', '00', '00', '00']
['vcan0', '000000C4', '[8]', '11', '03', '04', '03', '04', '00', '00', '1F']
